2024-04-09 00:56:12 info: Onboard Server is started and running at the port 5000 
2024-04-09 00:56:28 info: ::1 - - [08/Apr/2024:19:26:28 +0000] "GET /api-docs HTTP/1.1" 301 183 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
 
2024-04-09 00:56:28 info: ::1 - - [08/Apr/2024:19:26:28 +0000] "GET /api-docs/ HTTP/1.1" 200 3106 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
 
2024-04-09 00:56:28 info: ::1 - - [08/Apr/2024:19:26:28 +0000] "GET /api-docs/swagger-ui-init.js HTTP/1.1" 200 5237 "http://localhost:5000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
 
2024-04-09 00:56:28 info: ::1 - - [08/Apr/2024:19:26:28 +0000] "GET /api-docs/swagger-ui.css HTTP/1.1" 200 152071 "http://localhost:5000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
 
2024-04-09 00:56:28 info: ::1 - - [08/Apr/2024:19:26:28 +0000] "GET /api-docs/swagger-ui-standalone-preset.js HTTP/1.1" 200 230777 "http://localhost:5000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
 
2024-04-09 00:56:28 info: ::1 - - [08/Apr/2024:19:26:28 +0000] "GET /api-docs/swagger-ui-bundle.js HTTP/1.1" 200 1420459 "http://localhost:5000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
 
2024-04-09 00:56:29 info: ::1 - - [08/Apr/2024:19:26:29 +0000] "GET /api-docs/favicon-32x32.png HTTP/1.1" 200 628 "http://localhost:5000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
 
2024-04-09 00:56:34 info: ::1 - - [08/Apr/2024:19:26:34 +0000] "GET /api-docs/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:5000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
 
2024-04-09 00:56:45 info: ::1 - - [08/Apr/2024:19:26:45 +0000] "GET /api-docs/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:5000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
 
